
Thu Oct 24 09:36:37 2013 -- | 9658ob01 | conx:S | copy:N |  

Fri Dec 27 08:21:44 2013 -- | mxl3061hjt | conx:S | copy:N |  

Thu Jan 09 08:37:28 2014 -- | 9814rs01 | conx:S | copy:N |  

Thu Mar 27 08:38:40 2014 -- | 9218rs01 | conx:S | copy:N |  

Thu Mar 27 09:06:32 2014 -- | 9299rs01 | conx:S | copy:N |  

Thu Mar 27 11:45:05 2014 -- | 9658RS01 | conx:S | copy:N |  

Thu Apr 10 09:08:57 2014 -- | 9218rs01 | conx:S | copy:N |  

Wed Aug 10 08:27:59 2016 -- |  | conx:N | copy:N |  

Wed Aug 10 08:30:00 2016 -- |  | conx:N | copy:N |  

Wed Aug 10 08:30:01 2016 -- |  | conx:N | copy:N |  

Wed Aug 10 08:30:02 2016 -- |  | conx:N | copy:N |  

Wed Aug 10 08:30:02 2016 -- |  | conx:N | copy:N |  
