
Wed Nov 06 09:40:49 2013 -- | 9839rs03 | conx:S | copy:N | log:N  

Wed Nov 06 10:49:27 2013 -- | 9827tq01 | conx:S | copy:S | log:S  

Fri Nov 08 08:48:09 2013 -- | 9520rs02 | conx:S | copy:N | log:N  

Wed Dec 04 15:35:18 2013 -- | 9611co01 | conx:S | copy:N | log:N  

Thu Jan 02 09:04:20 2014 -- | 9670tq06 | conx:S | copy:S | log:S  

Fri Jan 10 08:20:32 2014 -- | 9570rs04 | conx:S | copy:N | log:N  

Mon Feb 03 12:49:58 2014 -- | 9440tq04 | conx:S | copy:N | log:N  

Wed Mar 05 08:40:44 2014 -- | 9550tq02 | conx:S | copy:S | log:S  

Mon Mar 31 09:27:48 2014 -- | 9260co01 | conx:S | copy:S | log:S  

Fri Apr 11 10:05:29 2014 -- | 9229tq02 | conx:S | copy:S | log:S  

Mon Apr 14 08:36:40 2014 -- | 9229tq02 | conx:S | copy:S | log:S  

Tue Apr 15 08:43:35 2014 -- | 9811tq06 | conx:S | copy:S | log:S  

Fri Jun 05 10:21:37 2015 -- | 9570bo01 | conx:S | copy:S | log:S  

Thu Oct 08 09:07:45 2015 -- | 9370co01 | conx:S | copy:S | log:S  

Thu Oct 08 11:54:00 2015 -- | 9310tq06 | conx:S | copy:S | log:S  

Thu Oct 08 11:56:53 2015 -- | 9310tq06 | conx:S | copy:S | log:S  

Tue Oct 20 11:20:14 2015 -- | 9282co01 | conx:S | copy:S | log:S  

Tue Oct 20 11:32:05 2015 -- | 9282co01 | conx:S | copy:S | log:S  

Thu Nov 12 08:07:37 2015 -- | 9225tq01w7 | conx:N | copy:N | log:N  

Fri Jan 29 08:52:31 2016 -- | 9370rs03w7 | conx:N | copy:N | log:N  

Fri Jan 29 08:52:59 2016 -- | 9370rs03 | conx:S | copy:S | log:S  

Fri Jan 29 08:54:36 2016 -- | 9370rs03 | conx:S | copy:S | log:S  

Fri Jan 29 08:57:22 2016 -- | 9370rs03 | conx:S | copy:S | log:S  

Tue Feb 02 10:45:35 2016 -- | nombre | conx:N | copy:N | log:N  

Tue Feb 02 10:45:59 2016 -- | 9513en13 | conx:N | copy:N | log:N  

Tue Feb 02 10:46:14 2016 -- | 9513en13w7 | conx:N | copy:N | log:N  

Tue Feb 02 10:46:23 2016 -- | 9513en13 | conx:N | copy:N | log:N  

Tue Jul 19 11:07:11 2016 -- | 9445co01 | conx:S | copy:S | log:S  

Tue Jul 19 11:11:07 2016 -- | 9445co01 | conx:S | copy:S | log:S  

Tue Jul 19 11:29:54 2016 -- | 9445cp01 | conx:S | copy:N | log:N  

Tue Jul 19 11:30:17 2016 -- | 9445cp01 | conx:S | copy:N | log:N  

Tue Jul 19 11:32:25 2016 -- | 9445cp01 | conx:S | copy:S | log:S  

Wed Jul 20 08:31:49 2016 -- | 9837rs03 | conx:S | copy:N | log:N  

Wed Jul 20 08:32:18 2016 -- | 9837rs03 | conx:S | copy:N | log:N  

Thu Jul 21 11:47:15 2016 -- | 9445co01 | conx:S | copy:S | log:S  

Wed Aug 03 08:03:13 2016 -- | 9543tq02 | conx:S | copy:S | log:S  

Wed Aug 17 08:43:12 2016 -- | 9350co01 | conx:S | copy:S | log:S  

Thu Aug 18 10:57:06 2016 -- |  | conx:N | copy:N | log:N  

Thu Aug 18 10:58:10 2016 -- | 9924co01 | conx:S | copy:S | log:S  

Wed Aug 24 10:00:45 2016 -- | 9394rs01 | conx:S | copy:S | log:S  

Fri Sep 02 08:30:16 2016 -- | 9441 | conx:N | copy:N | log:N  

Tue Sep 13 11:31:25 2016 -- | 9445rs03 | conx:S | copy:S | log:S  

Wed Sep 14 10:28:24 2016 -- | 9294cp01 | conx:S | copy:S | log:S  
