"*** server_valida  Validacion - configuracion servidor 9268SRV1 - IP: 10.10.188.1 en oficina 9268-Caraballeda " 

Thu Oct 10 22:34:04 2013 --  9268SRV1 | Appl:SO | Paso:F0-1-1-Validando comunicacion con 9268SRV1 | 000 | OK |  

Thu Oct 10 22:39:09 2013 --  9268SRV1 | Appl:SO | Paso:F0-1-2-Validando version OS 2008 en 9268SRV1 | E-099 | Version OS NO VALIDA - ???? |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-1-Validando Recurso-MOAPROJ | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-2-Validando Recurso-BMLS100 | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-3-Validando Recurso-CEMP_backup | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-4-Validando Recurso-buzon | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-5-Validando Recurso-envia | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-6-Validando Recurso-oficina_mercantil | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-7-Validando Recurso-log | 000 | OK |  

Thu Oct 10 22:39:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-1-8-Validando Recurso-Imagen | 000 | OK |  

Thu Oct 10 22:40:39 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-2-1-Validando si existe carpeta CDS | 000 | OK |  

Thu Oct 10 22:40:47 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-2-2-Validando 9268 en archivo ddproj.ini | 000 | OK |  

Thu Oct 10 22:41:23 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-2-3-Validando 9268 en archivo ddproj.ini.prod | 000 | OK |  

Thu Oct 10 22:41:44 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-2-4-Validando 9268 en archivo DDPROJ.ini.cont | 000 | OK |  

Thu Oct 10 22:41:56 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-2-5-Validando CDS_demo01 | 000 | OK |  

Thu Oct 10 22:43:58 2013 --  9268SRV1 | Appl:Lectora | Paso:F1-3-1-Validando 9268 en archivo CTSParameters.ini | E-105 | CTSParameters.ini NO fue actualizado con 9268SRV1. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:Lectora | Paso:F1-3-2-Validando 9268 en archivo CTSParameters.ini.prod | E-105 | CTSParameters.ini.prod NO fue actualizado con 9268SRV1. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:Lectora | Paso:F1-3-3-Validando 9268 en archivo CTSParameters.ini.cont | E-105 | CTSParameters.ini.cont NO fue actualizado con 9268SRV1. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-1-Validando tarea cce_cont_cds | E-109 | Tarea cce_cont_cds no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-2-Validando tarea cce_cont_back | E-109 | Tarea cce_cont_back no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-3-Validando tarea MOS_MANT_CDS | E-109 | Tarea MOS_MANT_CDS no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-4-Validando tarea MOS_MANT_KILL | E-109 | Tarea MOS_MANT_KILL no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-5-Validando tarea MOS_COMIS | E-109 | Tarea MOS_COMIS no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-6-Validando tarea MOS_COMIS_1 | E-109 | Tarea MOS_COMIS_1 no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-7-Validando tarea MOS_DEPO | E-109 | Tarea MOS_DEPO no existe. Reportar |  

Thu Oct 10 22:44:19 2013 --  9268SRV1 | Appl:SO | Paso:F1-4-8-Validando tarea MOS_RESP_CDS | E-109 | Tarea MOS_RESP_CDS no existe. Reportar |  

